e,3812
n,3492
a,2854
i,2420
o,2158
s,2001
b,1994
d,1686
h,1036
c,1000
p,993
re,979
l,912
un,849
w,843
t,834
m,826
g,599
r,509
air,433
dis,375
f,360
over,338
ill,242
out,229
car,200
mis,184
under,163
road,135
side,129
eye,113
sea,108
inter,103
ear,103
y,98
up,95
fore,94
water,91
pot,84
land,84
back,84
horse,80
dog,80
bul,79
ice,76
sub,75
post,75
face,75
wood,73
high,70
top,69
boy,68
free,66
counter,66
stone,65
night,64
cross,64
black,64
ring,63
fire,63
lock,60
tele,59
table,59
day,58
piece,57
off,56
skin,55
arm,55
self,54
half,54
trans,53
sof,53
hand,53
tea,52
shop,52
paper,52
foot,52
house,50
head,49
time,48
step,48
low,47
long,47
blood,47
u,46
race,46
show,45
watch,44
type,44
oil,44
ex,44
boat,44
nut,42
life,42
key,42
k,42
gas,42
double,42
cut,42
shoe,41
ox,41
fish,41
blue,41
band,41
ground,40
word,39
bor,39
ass,39
worm,38
star,38
love,37
down,37
girl,36
war,35
play,35
ove,35
like,35
sur,33
safety,33
pole,33
bar,33
iron,32
wind,31
town,31
news,31
book,31
bell,31
fly,30
bird,30
phone,29
door,29
snow,28
short,28
ship,28
nose,28
jack,28
work,27
some,27
per,27
money,27
woman,26
well,26
tie,26
semi,26
sand,26
photo,26
stock,25
sky,25
service,25
king,25
edge,25
brain,25
mother,24
fishes,24
after,24
wash,23
tooth,23
women,22
way,22
storm,22
radio,22
green,22
copy,22
cock,22
wing,21
weather,21
super,21
sugar,21
leg,21
safe,20
rope,20
micro,20
bread,20
pay,19
line,19
landing,19
four,19
finger,19
deep,19
corn,19
wes,18
turn,18
press,18
minded,18
grand,18
gold,18
birth,18
ski,17
sick,17
school,17
quick,17
quarter,17
light,17
heart,17
dust,17
death,17
',17
window,16
tap,16
spring,16
rip,16
mid,16
master,16
makers,16
maker,16
break,16
bow,16
arch,16
three,15
slip,15
mono,15
milk,15
home,15
dry,15
chain,15
baby,15
white,14
where,14
two,14
tar,14
steam,14
space,14
shirt,14
rock,14
net,14
neck,14
name,14
length,14
jackets,14
jacket,14
j,14
game,14
folk,14
egg,14
clothes,14
best,14
tri,13
tail,13
round,13
right,13
rack,13
power,13
make,13
lip,13
leather,13
hard,13
full,13
ever,13
drum,13
bob,13
auto,13
L,13
C,13
sound,12
shot,12
rough,12
mind,12
match,12
knee,12
honey,12
hay,12
dinner,12
class,12
chimney,12
check,12
camp,12
wheel,11
place,11
penny,11
pack,11
mud,11
motor,11
market,11
loud,11
legged,11
kilo,11
highest,11
higher,11
good,11
fork,11
flat,11
crash,11
breast,11
better,11
bank,11
T,11
M,11
wine,10
waste,10
trap,10
thumb,10
there,10
sports,10
sheep,10
seed,10
rood,10
pea,10
gate,10
field,10
drop,10
coll,10
aqua,10
S,10
x,9
street,9
southwes,9
slo,9
single,9
salt,9
ridge,9
retro,9
rate,9
rabbit,9
